GCVS S And                      =M31 V0894
GCVS V2360 Sgr                  =V3507 Sgr
GCVS V2367 Sgr                  =NSV 11040
GCVS V2371 Sgr                  =V3729 Sgr
GCVS V2471 Sgr                  =V1728 Sgr
GCVS V2675 Sgr                  =NSV 10366
GCVS V2733 Sgr                  =NSV 10390
GCVS V2789 Sgr                  =NSV 10422
GCVS V2875 Sgr                  =NSV 10467
GCVS V2918 Sgr                  =NSV 10488
GCVS V2952 Sgr                  =V4329 Sgr
GCVS V2973 Sgr                  =NSV 10510
GCVS V3035 Sgr                  =NSV 10593
GCVS V3045 Sgr                  =NSV 10604
GCVS V3057 Sgr                  =NSV 10618
GCVS V3077 Sgr                  =NSV 10633
GCVS V3118 Sgr                  =NSV 10656
GCVS V3418 Sgr                  =NSV 10867
GCVS V3437 Sgr                  =NSV 10884
GCVS V3551 Sgr                  =NSV 11002
GCVS V3783 Sgr                  =NSV 11215
GCVS V3841 Sgr                  =V3875 Sgr
GCVS V4051 Sgr                  =NSV 10907
GCVS V4052 Sgr                  =NSV 10937
GCVS V4055 Sgr                  =NSV 10946
GCVS V4055 Sgr                  =NSV 10947
GCVS V4059 Sgr                  =NSV 11250
GCVS V4066 Sgr                  =NSV 11003
GCVS V4070 Sgr                  =NSV 09897
GCVS V4071 Sgr                  =NSV 09903
GCVS V4073 Sgr                  =NSV 10244
GCVS V4082 Sgr                  =NSV 11234
GCVS V4089 Sgr                  =NSV 12133
GCVS V4108 Sgr                  =V1375 Sgr
GCVS V4120 Sgr                  =NSV 10099
GCVS V4132 Sgr                  =NSV 11237
GCVS V4140 Sgr                  =NSV 12615
GCVS V4147 Sgr                  =NSV 11073
GCVS V4151 Sgr                  =NSV 11157
GCVS V4184 Sgr                  =NSV 10970
GCVS V4197 Sgr                  =NSV 11722
GCVS V4198 Sgr                  =NSV 11743
GCVS V4202 Sgr                  =NSV 10075
GCVS V4204 Sgr                  =NSV 10174
GCVS V4239 Sgr                  =NSV 10225
GCVS V4276 Sgr                  =NSV 10262
GCVS V4278 Sgr                  =NSV 10267
GCVS V4284 Sgr                  =NSV 10272
GCVS V4289 Sgr                  =NSV 10282
GCVS V4344 Sgr                  =NSV 10278
GCVS V4350 Sgr                  =NSV 10292
GCVS V4353 Sgr                  =NSV 10294
GCVS V4354 Sgr                  =NSV 10296
GCVS V4358 Sgr                  =NSV 10303
GCVS V4390 Sgr                  =NSV 10682
GCVS V4396 Sgr                  =NSV 10891
GCVS V4399 Sgr                  =NSV 11020
GCVS V4405 Sgr                  =NSV 11309
GCVS V4414 Sgr                  =NSV 11914
GCVS V4424 Sgr                  =NSV 12518
GCVS V4425 Sgr                  =NSV 12541
GCVS V4428 Sgr                  =NSV 12665
GCVS V4429 Sgr                  =NSV 12784
GCVS V4434 Sgr                  =NSV 12949
GCVS V4437 Sgr                  =NSV 12997
GCVS V4438 Sgr                  =NSV 13023
GCVS V4535 Sgr                  =NSV 23765
GCVS V4579 Sgr                  =NSV 24159
GCVS V4616 Sgr                  =NSV 10302
GCVS V4620 Sgr                  =V2285 Sgr
GCVS V4634 Sgr                  =NSV 24453
GCVS V4683 Sgr                  =NSV 24062
GCVS V4922 Sgr                  =NSV 23734
GCVS V5101 Sgr                  =NSV 10152
GCVS V5104 Sgr                  =NSV 24415
GCVS V5108 Sgr                  =NSV 11337
GCVS V5392 Sgr                  =NSV 24087
GCVS V5409 Sgr                  =NSV 24094
GCVS V5411 Sgr                  =NSV 24097
GCVS V5421 Sgr                  =NSV 24105
GCVS V5422 Sgr                  =NSV 24106
GCVS V5429 Sgr                  =NSV 24109
GCVS V5437 Sgr                  =NSV 24113
GCVS V5439 Sgr                  =NSV 24122
GCVS V5446 Sgr                  =NSV 24125
GCVS V5449 Sgr                  =NSV 24128
GCVS V5450 Sgr                  =NSV 24129
GCVS V5458 Sgr                  =NSV 24130
GCVS V5461 Sgr                  =NSV 24134
GCVS V5464 Sgr                  =NSV 24137
GCVS V5467 Sgr                  =NSV 24138
GCVS V5468 Sgr                  =NSV 24139
GCVS V5472 Sgr                  =NSV 24143
GCVS V5473 Sgr                  =NSV 24144
GCVS V5487 Sgr                  =NSV 24153
GCVS V5512 Sgr                  =NSV 24341
GCVS V5514 Sgr                  =NSV 10577
GCVS V5532 Sgr                  =NSV 10626
GCVS V5536 Sgr                  =NSV 10752
GCVS V5538 Sgr                  =NSV 10837
GCVS V5539 Sgr                  =NSV 10964
GCVS V5543 Sgr                  =NSV 11298
GCVS V5544 Sgr                  =NSV 11330
GCVS V5545 Sgr                  =NSV 11475
GCVS V5546 Sgr                  =NSV 24769
GCVS V5548 Sgr                  =NSV 12183
GCVS V5549 Sgr                  =NSV 12190
GCVS V5550 Sgr                  =NSV 12294
GCVS V5551 Sgr                  =NSV 12305
GCVS V5552 Sgr                  =NSV 12416
GCVS V5553 Sgr                  =NSV 24931
GCVS V5554 Sgr                  =NSV 12652
GCVS V5555 Sgr                  =NSV 24971
GCVS V5556 Sgr                  =NSV 13090
GCVS V5557 Sgr                  =V0384 Sco
GCVS V5559 Sgr                  =NSV 09816
GCVS V5560 Sgr                  =NSV 09863
GCVS V5561 Sgr                  =NSV 09957
GCVS V5562 Sgr                  =NSV 24084
GCVS V5563 Sgr                  =NSV 24229
GCVS V5564 Sgr                  =NSV 10368
GCVS V5565 Sgr                  =NSV 10456
GCVS V5566 Sgr                  =NSV 10624
GCVS V5567 Sgr                  =NSV 10660
GCVS V5568 Sgr                  =NSV 10761
GCVS V5569 Sgr                  =NSV 24607
GCVS V5570 Sgr                  =NSV 11781
GCVS V5571 Sgr                  =NSV 11807
GCVS V5572 Sgr                  =NSV 12107
GCVS V5573 Sgr                  =NSV 12236
GCVS V5574 Sgr                  =NSV 12369
GCVS V5575 Sgr                  =NSV 24926
GCVS V5576 Sgr                  =NSV 12710
GCVS V5577 Sgr                  =NSV 24979
GCVS V5578 Sgr                  =NSV 12854
GCVS V5624 Sgr                  =NSV 24073
GCVS V5642 Sgr                  =NSV 24472
GCVS V5646 Sgr                  =NSV 11227
GCVS V5657 Sgr                  =NSV 12301
GCVS V5661 Sgr                  =NSV 12698
GCVS V5664 Sgr                  =NSV 12800
GCVS V5665 Sgr                  =NSV 12902
GCVS V5673 Sgr                  =NSV 09669
GCVS V5674 Sgr                  =NSV 09693
GCVS V5675 Sgr                  =NSV 09741
GCVS V5677 Sgr                  =NSV 09751
GCVS V5679 Sgr                  =NSV 09797
GCVS V5680 Sgr                  =NSV 09818
GCVS V5695 Sgr                  =NSV 09854
GCVS V5696 Sgr                  =NSV 09858
GCVS V5697 Sgr                  =NSV 09864
GCVS V5698 Sgr                  =NSV 09883
GCVS V5700 Sgr                  =NSV 09908
GCVS V5701 Sgr                  =NSV 09947
GCVS V5702 Sgr                  =NSV 09955
GCVS V5704 Sgr                  =NSV 09961
GCVS V5705 Sgr                  =NSV 09970
GCVS V5706 Sgr                  =NSV 10007
GCVS V5711 Sgr                  =NSV 10035
GCVS V5714 Sgr                  =NSV 10041
GCVS V5723 Sgr                  =NSV 10029
GCVS V5792 Sgr                  =NSV 10245
GCVS V5798 Sgr                  =NSV 10255
GCVS V5809 Sgr                  =NSV 10308
GCVS V5810 Sgr                  =NSV 10314
GCVS V5813 Sgr                  =NSV 10333
GCVS V5814 Sgr                  =NSV 10341
GCVS V5821 Sgr                  =NSV 10377
GCVS V5824 Sgr                  =NSV 10382
GCVS V5825 Sgr                  =NSV 10424
GCVS V5826 Sgr                  =NSV 24393
GCVS V5827 Sgr                  =NSV 10623
GCVS V5829 Sgr                  =NSV 10632
GCVS V5831 Sgr                  =NSV 10980
GCVS V5832 Sgr                  =NSV 11264
GCVS V5834 Sgr                  =NSV 11614
GCVS V5834 Sgr                  =NSV 11615
GCVS V5838 Sgr                  =NSV 12029
GCVS V5841 Sgr                  =NSV 12054
GCVS V5842 Sgr                  =NSV 12065
GCVS V5843 Sgr                  =NSV 12070
GCVS V5847 Sgr                  =NSV 12753
GCVS V5849 Sgr                  =NSV 13059
GCVS V5851 Sgr                  =NSV 09579
GCVS V5953 Sgr                  =NSV 10055
GCVS V5954 Sgr                  =NSV 10053
GCVS V5955 Sgr                  =NSV 10056
GCVS V5969 Sgr                  =NSV 10090
GCVS V5970 Sgr                  =NSV 10088
GCVS V5974 Sgr                  =NSV 10131
GCVS V5976 Sgr                  =NSV 10142
GCVS V5982 Sgr                  =NSV 10165
GCVS V6035 Sgr                  =NSV 10207
GCVS V6061 Sgr                  =NSV 10218
GCVS V6063 Sgr                  =NSV 10220
GCVS V6087 Sgr                  =NSV 10233
GCVS V6093 Sgr                  =NSV 10235
GCVS V6094 Sgr                  =NSV 10239
GCVS V6095 Sgr                  =NSV 10236
GCVS V6102 Sgr                  =NSV 10237
GCVS V6117 Sgr                  =NSV 10248
GCVS V6133 Sgr                  =NSV 10257
GCVS V6134 Sgr                  =NSV 10270
GCVS V6153 Sgr                  =NSV 10276
GCVS V6155 Sgr                  =NSV 10280
GCVS V6182 Sgr                  =NSV 10319
GCVS V6183 Sgr                  =NSV 10312
GCVS V6184 Sgr                  =NSV 10322
GCVS V6203 Sgr                  =NSV 10337
GCVS V6225 Sgr                  =NSV 10359
GCVS V6228 Sgr                  =NSV 10360
GCVS V6241 Sgr                  =NSV 10379
GCVS V6257 Sgr                  =NSV 10402
GCVS V6280 Sgr                  =NSV 10421
GCVS V6295 Sgr                  =NSV 10437
GCVS V6308 Sgr                  =NSV 10451
GCVS V6310 Sgr                  =NSV 10464
GCVS V6318 Sgr                  =NSV 10476
GCVS V6320 Sgr                  =NSV 10459
GCVS V6328 Sgr                  =NSV 10491
GCVS V6331 Sgr                  =NSV 10492
GCVS V6335 Sgr                  =NSV 10489
GCVS V6338 Sgr                  =NSV 10500
GCVS V6342 Sgr                  =NSV 10509
GCVS V6346 Sgr                  =NSV 10519
GCVS V6350 Sgr                  =NSV 10527
GCVS V6359 Sgr                  =NSV 10581
GCVS V6361 Sgr                  =NSV 10591
GCVS V6366 Sgr                  =NSV 10607
GCVS V6367 Sgr                  =NSV 10608
GCVS V6369 Sgr                  =NSV 10614
GCVS V6375 Sgr                  =NSV 10627
GCVS V6376 Sgr                  =NSV 10641
GCVS V6377 Sgr                  =NSV 10640
GCVS V6379 Sgr                  =NSV 10643
GCVS V6380 Sgr                  =NSV 10639
GCVS V6382 Sgr                  =NSV 10646
GCVS V6386 Sgr                  =NSV 10667
GCVS V6387 Sgr                  =NSV 10668
GCVS V6393 Sgr                  =NSV 10683
GCVS V6394 Sgr                  =NSV 10685
GCVS V6396 Sgr                  =NSV 10680
GCVS V6397 Sgr                  =NSV 10700
GCVS V6398 Sgr                  =NSV 10706
GCVS V6399 Sgr                  =NSV 10704
GCVS V6400 Sgr                  =NSV 10710
GCVS V6401 Sgr                  =NSV 10711
GCVS V6402 Sgr                  =NSV 10712
GCVS V6405 Sgr                  =NSV 10733
GCVS V6410 Sgr                  =NSV 10760
GCVS V6413 Sgr                  =NSV 10781
GCVS V6414 Sgr                  =NSV 10783
GCVS V6415 Sgr                  =NSV 10788
GCVS V6417 Sgr                  =NSV 10791
GCVS V6418 Sgr                  =NSV 10799
GCVS V6419 Sgr                  =NSV 10804
GCVS V6420 Sgr                  =NSV 10802
GCVS V6421 Sgr                  =NSV 10807
GCVS V6422 Sgr                  =NSV 10814
GCVS V6424 Sgr                  =NSV 10823
GCVS V6425 Sgr                  =NSV 10826
GCVS V6427 Sgr                  =NSV 10833
GCVS V6428 Sgr                  =NSV 10841
GCVS V6429 Sgr                  =NSV 10849
GCVS V6430 Sgr                  =NSV 10861
GCVS V6434 Sgr                  =NSV 10877
GCVS V6435 Sgr                  =NSV 10882
GCVS V6437 Sgr                  =NSV 10881
GCVS V6442 Sgr                  =NSV 10974
GCVS V6443 Sgr                  =NSV 10987
GCVS V6444 Sgr                  =NSV 11001
GCVS V6445 Sgr                  =NSV 10996
GCVS V6446 Sgr                  =NSV 11027
GCVS V6447 Sgr                  =NSV 11004
GCVS V6448 Sgr                  =NSV 11011
GCVS V6449 Sgr                  =NSV 11008
GCVS V6450 Sgr                  =NSV 11015
GCVS V6451 Sgr                  =NSV 11026
GCVS V6452 Sgr                  =NSV 11033
GCVS V6453 Sgr                  =NSV 11043
GCVS V6454 Sgr                  =NSV 11052
GCVS V6455 Sgr                  =NSV 11059
GCVS V6456 Sgr                  =NSV 11063
GCVS V6457 Sgr                  =NSV 11076
GCVS V6458 Sgr                  =NSV 11091
GCVS V6459 Sgr                  =NSV 11098
GCVS V6460 Sgr                  =NSV 11101
GCVS V6461 Sgr                  =NSV 11106
GCVS V6462 Sgr                  =NSV 11109
GCVS V6463 Sgr                  =NSV 11121
GCVS V6464 Sgr                  =NSV 11141
GCVS V6465 Sgr                  =NSV 11150
GCVS V6466 Sgr                  =NSV 11169
GCVS V6467 Sgr                  =NSV 11184
GCVS V6468 Sgr                  =NSV 11186
GCVS V6470 Sgr                  =NSV 11203
GCVS V6471 Sgr                  =NSV 11226
GCVS V6472 Sgr                  =NSV 11220
GCVS V6473 Sgr                  =NSV 11231
GCVS V6474 Sgr                  =NSV 11258
GCVS V6475 Sgr                  =NSV 11285
GCVS V6476 Sgr                  =NSV 11277
GCVS V6477 Sgr                  =NSV 11302
GCVS V6478 Sgr                  =NSV 11351
GCVS V6479 Sgr                  =NSV 11360
GCVS V6481 Sgr                  =NSV 11394
GCVS V6482 Sgr                  =NSV 11384
GCVS V6483 Sgr                  =NSV 11517
GCVS V6484 Sgr                  =NSV 11542
GCVS V6485 Sgr                  =NSV 11552
GCVS V6486 Sgr                  =NSV 11553
GCVS V6487 Sgr                  =NSV 11566
GCVS V6488 Sgr                  =NSV 11613
GCVS V6489 Sgr                  =NSV 11633
GCVS V6490 Sgr                  =NSV 11638
GCVS V6491 Sgr                  =NSV 11668
GCVS V6492 Sgr                  =NSV 11662
GCVS V6493 Sgr                  =NSV 11696
GCVS V6494 Sgr                  =NSV 11728
GCVS V6495 Sgr                  =NSV 11733
GCVS V6496 Sgr                  =NSV 11778
GCVS V6497 Sgr                  =NSV 11833
GCVS V6498 Sgr                  =NSV 11826
GCVS V6499 Sgr                  =NSV 11834
GCVS V6501 Sgr                  =NSV 11850
GCVS V6502 Sgr                  =NSV 11851
GCVS V6503 Sgr                  =NSV 11856
GCVS V6504 Sgr                  =NSV 11860
GCVS V6505 Sgr                  =NSV 11890
GCVS V6506 Sgr                  =NSV 11903
GCVS V6507 Sgr                  =NSV 11907
GCVS V6508 Sgr                  =NSV 11918
GCVS V6511 Sgr                  =NSV 11974
GCVS V6512 Sgr                  =NSV 12000
GCVS V6513 Sgr                  =NSV 12018
GCVS V6514 Sgr                  =NSV 12041
GCVS V6515 Sgr                  =NSV 12062
GCVS V6516 Sgr                  =NSV 12061
GCVS V6517 Sgr                  =NSV 12080
GCVS V6519 Sgr                  =NSV 12091
GCVS V6520 Sgr                  =NSV 12086
GCVS V6521 Sgr                  =NSV 12127
GCVS V6522 Sgr                  =NSV 12142
GCVS V6523 Sgr                  =NSV 12146
GCVS V6524 Sgr                  =NSV 12158
GCVS V6525 Sgr                  =NSV 12157
GCVS V6526 Sgr                  =NSV 12159
GCVS V6528 Sgr                  =NSV 12194
GCVS V6529 Sgr                  =NSV 12198
GCVS V6530 Sgr                  =NSV 12243
GCVS V6531 Sgr                  =NSV 12227
GCVS V6532 Sgr                  =NSV 12232
GCVS V6533 Sgr                  =NSV 12240
GCVS V6534 Sgr                  =NSV 12258
GCVS V6535 Sgr                  =NSV 12309
GCVS V6536 Sgr                  =NSV 12316
GCVS V6537 Sgr                  =NSV 12318
GCVS V6538 Sgr                  =NSV 12339
GCVS V6539 Sgr                  =NSV 12346
GCVS V6540 Sgr                  =NSV 12350
GCVS V6541 Sgr                  =NSV 12356
GCVS V6542 Sgr                  =NSV 12389
GCVS V6545 Sgr                  =NSV 12403
GCVS V6546 Sgr                  =NSV 12401
GCVS V6547 Sgr                  =NSV 12426
GCVS V6548 Sgr                  =NSV 12429
GCVS V6549 Sgr                  =NSV 12446
GCVS V6550 Sgr                  =NSV 12483
GCVS V6551 Sgr                  =NSV 12484
GCVS V6552 Sgr                  =NSV 12488
GCVS V6553 Sgr                  =NSV 12494
GCVS V6554 Sgr                  =NSV 12508
GCVS V6556 Sgr                  =NSV 12524
GCVS V6557 Sgr                  =NSV 12520
GCVS V6558 Sgr                  =NSV 12534
GCVS V6559 Sgr                  =NSV 12536
GCVS V6560 Sgr                  =NSV 12563
GCVS V6561 Sgr                  =NSV 12569
GCVS V6562 Sgr                  =NSV 12583
GCVS V6563 Sgr                  =NSV 12595
GCVS V6564 Sgr                  =NSV 12620
GCVS V6565 Sgr                  =NSV 12614
GCVS V6569 Sgr                  =NSV 12643
GCVS V6570 Sgr                  =NSV 12657
GCVS V6571 Sgr                  =NSV 12659
GCVS V6572 Sgr                  =NSV 12653
GCVS V6574 Sgr                  =NSV 12701
GCVS V6575 Sgr                  =NSV 12743
GCVS V6578 Sgr                  =NSV 12762
GCVS V6579 Sgr                  =NSV 12789
GCVS V6580 Sgr                  =NSV 12792
GCVS V6581 Sgr                  =NSV 12821
GCVS V6582 Sgr                  =NSV 12823
GCVS V6583 Sgr                  =NSV 12835
GCVS V6584 Sgr                  =NSV 12876
GCVS V6585 Sgr                  =NSV 12895
GCVS V6586 Sgr                  =NSV 12963
GCVS V6587 Sgr                  =NSV 12966
GCVS V6588 Sgr                  =NSV 12968
GCVS V6589 Sgr                  =NSV 12998
GCVS V6590 Sgr                  =NSV 13010
GCVS V6591 Sgr                  =NSV 13026
GCVS V6592 Sgr                  =NSV 13055
GCVS V6592 Sgr                  =NSV 25132
GCVS W Sco                      =V Sco
GCVS Y Sco                      =V2613 Oph
GCVS VZ Sco                     =NSV 20581
GCVS GM Sco                     =V0855 Sco
GCVS V0918 Sco                  =NSV 07842
GCVS V0919 Sco                  =NSV 07998
GCVS V0930 Sco                  =NSV 07482
GCVS V0931 Sco                  =NSV 07515
GCVS V0932 Sco                  =NSV 07606
GCVS V0932 Sco                  =NSV 07607
GCVS V0934 Sco                  =NSV 07646
GCVS V0935 Sco                  =NSV 07664
GCVS V0937 Sco                  =NSV 07728
GCVS V0938 Sco                  =NSV 07762
GCVS V0939 Sco                  =NSV 07793
GCVS V0940 Sco                  =NSV 07794
GCVS V0941 Sco                  =NSV 07807
GCVS V0942 Sco                  =NSV 07815
GCVS V0943 Sco                  =NSV 07840
GCVS V0944 Sco                  =NSV 07841
GCVS V0950 Sco                  =NSV 09246
GCVS V0954 Sco                  =NSV 07868
GCVS V0956 Sco                  =NSV 08191
GCVS V0965 Sco                  =NSV 08931
GCVS V0973 Sco                  =NSV 07992
GCVS V0994 Sco                  =NSV 09397
GCVS V1007 Sco                  =NSV 08022
GCVS V1026 Sco                  =NSV 07344
GCVS V1029 Sco                  =NSV 07742
GCVS V1034 Sco                  =NSV 08024
GCVS V1036 Sco                  =NSV 09167
GCVS V1039 Sco                  =NSV 07252
GCVS V1040 Sco                  =NSV 07314
GCVS V1044 Sco                  =NSV 07409
GCVS V1058 Sco                  =NSV 07781
GCVS V1068 Sco                  =NSV 08012
GCVS V1070 Sco                  =NSV 08051
GCVS V1075 Sco                  =NSV 08388
GCVS V1076 Sco                  =NSV 08412
GCVS V1080 Sco                  =NSV 08561
GCVS V1098 Sco                  =NSV 20552
GCVS V1128 Sco                  =NSV 21994
GCVS V1131 Sco                  =NSV 08706
GCVS V1132 Sco                  =NSV 08864
GCVS V1133 Sco                  =NSV 08889
GCVS V1135 Sco                  =NSV 08927
GCVS V1136 Sco                  =NSV 09015
GCVS V1137 Sco                  =NSV 09110
GCVS V1138 Sco                  =NSV 09123
GCVS V1144 Sco                  =NSV 20443
GCVS V1145 Sco                  =NSV 20446
GCVS V1146 Sco                  =NSV 20450
GCVS V1147 Sco                  =NSV 20451
GCVS V1148 Sco                  =NSV 20452
GCVS V1150 Sco                  =NSV 20467
GCVS V1151 Sco                  =NSV 20474
GCVS V1152 Sco                  =NSV 20476
GCVS V1153 Sco                  =NSV 20478
GCVS V1154 Sco                  =NSV 20479
GCVS V1156 Sco                  =NSV 20496
GCVS V1157 Sco                  =NSV 20535
GCVS V1163 Sco                  =NSV 22559
GCVS V1189 Sco                  =NSV 07458
GCVS V1193 Sco                  =NSV 20519
GCVS V1195 Sco                  =NSV 20579
GCVS V1196 Sco                  =NSV 20790
GCVS V1205 Sco                  =NSV 20815
GCVS V1208 Sco                  =NSV 20818
GCVS V1212 Sco                  =NSV 20823
GCVS V1216 Sco                  =NSV 20831
GCVS V1226 Sco                  =NSV 08117
GCVS V1229 Sco                  =NSV 21910
GCVS V1270 Sco                  =NSV 09870
GCVS V1279 Sco                  =HK Lup
GCVS V1282 Sco                  =NSV 07445
GCVS V1283 Sco                  =NSV 20517
GCVS V1284 Sco                  =NSV 20546
GCVS V1285 Sco                  =NSV 07638
GCVS V1286 Sco                  =NSV 07746
GCVS V1287 Sco                  =NSV 20709
GCVS V1288 Sco                  =NSV 07847
GCVS V1289 Sco                  =NSV 07960
GCVS V1290 Sco                  =NSV 20782
GCVS V1291 Sco                  =NSV 08010
GCVS V1292 Sco                  =NSV 08017
GCVS V1293 Sco                  =NSV 20802
GCVS V1294 Sco                  =NSV 08020
GCVS V1295 Sco                  =NSV 20827
GCVS V1296 Sco                  =NSV 08029
GCVS V1297 Sco                  =NSV 20859
GCVS V1298 Sco                  =NSV 08099
GCVS V1299 Sco                  =NSV 08145
GCVS V1300 Sco                  =NSV 20894
GCVS V1301 Sco                  =NSV 08163
GCVS V1302 Sco                  =NSV 08194
GCVS V1303 Sco                  =NSV 08299
GCVS V1304 Sco                  =NSV 08720
GCVS V1305 Sco                  =NSV 22125
GCVS V1306 Sco                  =NSV 09018
GCVS V1307 Sco                  =NSV 09245
GCVS V1308 Sco                  =NSV 09708
GCVS V1314 Sco                  =NSV 07272
GCVS V1315 Sco                  =NSV 07304
GCVS V1316 Sco                  =NSV 07309
GCVS V1317 Sco                  =NSV 07329
GCVS V1318 Sco                  =NSV 07328
GCVS V1320 Sco                  =NSV 07356
GCVS V1321 Sco                  =NSV 07362
GCVS V1322 Sco                  =NSV 07365
GCVS V1323 Sco                  =NSV 07372
GCVS V1325 Sco                  =NSV 07380
GCVS V1326 Sco                  =NSV 07398
GCVS V1328 Sco                  =NSV 07403
GCVS V1329 Sco                  =NSV 07480
GCVS V1333 Sco                  =NSV 07708
GCVS V1366 Sco                  =NSV 20868
GCVS V1461 Sco                  =NSV 08300
GCVS V1536 Sco                  =NSV 07434
GCVS V1537 Sco                  =NSV 20509
GCVS V1538 Sco                  =NSV 07468
GCVS V1539 Sco                  =NSV 07475
GCVS V1540 Sco                  =NSV 07481
GCVS V1541 Sco                  =NSV 07479
GCVS V1542 Sco                  =NSV 07485
GCVS V1543 Sco                  =NSV 07495
GCVS V1544 Sco                  =NSV 07502
GCVS V1545 Sco                  =NSV 07511
GCVS V1546 Sco                  =NSV 07517
GCVS V1548 Sco                  =NSV 07518
GCVS V1550 Sco                  =NSV 07535
GCVS V1551 Sco                  =NSV 07561
GCVS V1552 Sco                  =NSV 07585
GCVS V1554 Sco                  =NSV 07631
GCVS V1555 Sco                  =NSV 07639
GCVS V1556 Sco                  =NSV 07650
GCVS V1557 Sco                  =NSV 07649
GCVS V1558 Sco                  =NSV 07663
GCVS V1559 Sco                  =NSV 07678
GCVS V1560 Sco                  =NSV 07683
GCVS V1561 Sco                  =NSV 07685
GCVS V1562 Sco                  =NSV 07686
GCVS V1563 Sco                  =NSV 07684
GCVS V1564 Sco                  =NSV 07709
GCVS V1565 Sco                  =NSV 07715
GCVS V1566 Sco                  =NSV 07714
GCVS V1567 Sco                  =NSV 07739
GCVS V1568 Sco                  =NSV 07753
GCVS V1569 Sco                  =NSV 07772
GCVS V1570 Sco                  =NSV 07779
GCVS V1571 Sco                  =NSV 07791
GCVS V1572 Sco                  =NSV 07818
GCVS V1573 Sco                  =NSV 07823
GCVS V1574 Sco                  =NSV 07834
GCVS V1575 Sco                  =NSV 07849
GCVS V1576 Sco                  =NSV 07854
GCVS V1577 Sco                  =NSV 07858
GCVS V1578 Sco                  =NSV 07857
GCVS V1579 Sco                  =NSV 07866
GCVS V1580 Sco                  =NSV 07867
GCVS V1581 Sco                  =NSV 07869
GCVS V1582 Sco                  =NSV 07889
GCVS V1584 Sco                  =NSV 07893
GCVS V1586 Sco                  =NSV 07898
GCVS V1590 Sco                  =NSV 07949
GCVS V1591 Sco                  =NSV 07958
GCVS V1592 Sco                  =NSV 07964
GCVS V1593 Sco                  =NSV 07973
GCVS V1594 Sco                  =NSV 07974
GCVS V1595 Sco                  =NSV 20781
GCVS V1596 Sco                  =NSV 07980
GCVS V1597 Sco                  =NSV 07981
GCVS V1598 Sco                  =NSV 08046
GCVS V1599 Sco                  =NSV 08076
GCVS V1603 Sco                  =NSV 08108
GCVS V1604 Sco                  =NSV 08115
GCVS V1605 Sco                  =NSV 08121
GCVS V1607 Sco                  =NSV 08135
GCVS V1609 Sco                  =NSV 08153
GCVS V1610 Sco                  =NSV 08150
GCVS V1611 Sco                  =NSV 08162
GCVS V1612 Sco                  =NSV 08180
GCVS V1613 Sco                  =NSV 08192
GCVS V1614 Sco                  =NSV 08237
GCVS V1615 Sco                  =NSV 08238
GCVS V1616 Sco                  =NSV 08276
GCVS V1617 Sco                  =NSV 08290
GCVS V1618 Sco                  =NSV 08345
GCVS V1619 Sco                  =NSV 08522
GCVS V1620 Sco                  =NSV 08536
GCVS V1621 Sco                  =NSV 08650
GCVS V1624 Sco                  =NSV 09280
GCVS V1625 Sco                  =NSV 09534
GCVS V1626 Sco                  =NSV 09566
GCVS V1627 Sco                  =NSV 09604
GCVS V1628 Sco                  =NSV 09684
GCVS V1629 Sco                  =NSV 09694
GCVS V1630 Sco                  =NSV 09705
GCVS V1631 Sco                  =NSV 09730
GCVS V1631 Sco                  =NSV 23947
GCVS V1632 Sco                  =NSV 09722
GCVS V1633 Sco                  =NSV 09742
GCVS V1634 Sco                  =NSV 09777
GCVS V1635 Sco                  =NSV 09783
GCVS V1636 Sco                  =NSV 09782
GCVS V1637 Sco                  =NSV 09791
GCVS V1638 Sco                  =NSV 09789
GCVS V1639 Sco                  =NSV 09796
GCVS V1640 Sco                  =NSV 09799
GCVS V1641 Sco                  =NSV 09798
GCVS V1643 Sco                  =NSV 09819
GCVS V1644 Sco                  =NSV 09825
GCVS V1645 Sco                  =NSV 09839
GCVS V1646 Sco                  =NSV 09846
GCVS V1647 Sco                  =NSV 09856
GCVS V1648 Sco                  =NSV 09857
GCVS V1649 Sco                  =NSV 09868
GCVS V1650 Sco                  =NSV 09875
GCVS V1651 Sco                  =NSV 09882
GCVS V1652 Sco                  =NSV 09888
GCVS V1653 Sco                  =NSV 09892
GCVS V1654 Sco                  =NSV 09895
GCVS pi. Sco                    =NSV 07371
GCVS VX Scl                     =NSV 00560
GCVS AT Scl                     =NSV 00009
GCVS BB Scl                     =NSV 00556
GCVS BZ Scl                     =NSV 15253
GCVS CD Scl                     =NSV 00029
GCVS CE Scl                     =NSV 15107
GCVS CF Scl                     =NSV 15118
GCVS CG Scl                     =NSV 15203
GCVS CH Scl                     =NSV 15212
GCVS CI Scl                     =NSV 15234
GCVS CK Scl                     =NSV 00443
GCVS CL Scl                     =NSV 00501
GCVS CM Scl                     =NSV 26112
GCVS CN Scl                     =NSV 14664
GCVS CT Scl                     =NSV 15265
GCVS CZ Scl                     =NSV 00026
GCVS DE Scl                     =NSV 00090
GCVS DM Scl                     =NSV 14697
GCVS DN Scl                     =NSV 14703
GCVS DQ Scl                     =NSV 15015
GCVS DR Scl                     =NSV 15241
GCVS DT Scl                     =NSV 00418
GCVS alf Scl                    =NSV 00359
